Disgaea 2 PC, 0, 0, free
Impire, 45, 313, $19.99
FlatOut: Ultimate Carnage, 79, 1450, $19.99
Frozen Hearth, 46, 473, $17.99
VRCapture, 0, 0, free
Five Nights at Freddys, 78, 16575, $4.99
Dracula 4 and  5 - Special Steam Edition, 0, 0, $7.99
Battle Academy 2: Eastern Front, 78, 0, $39.99
Underground Keeper, 0, 0, $5.99
Port Royale 2, 75, 179, $4.99
Vortex Attack: borutetsukusuatatsuku, 0, 0, $6.99
Freddi Fish 5: The Case of the Creature of Coral Cove, 0, 0, $6.99
REalM: Walk of Soul, 0, 0, free
Catorize, 0, 0, $2.99
Nature Defenders, 0, 0, $1.99
Montaro, 0, 2384, $0.99
Incognito, 0, 0, $7.99
SEEP Universe, 0, 0, $2.99
Defenders Quest: Valley of the Forgotten (DX edition), 0, 2173, $14.99
Robotpencil Presents: Armor Design: Sci-Fi: Reference, 0, 0, free
Capitalism Plus, 0, 0, $5.99
Miner Wars Arena, 0, 0, $4.99
Trapped Dead, 50, 581, $4.99
Conquest of Champions, 0, 251, free
SimCity(tm) 4 Deluxe Edition, 0, 2729, $19.99
Barbie and Her Sisters Puppy Rescue, 0, 0, $14.99
Alpha Decay, 0, 0, $11.99
The Club(tm), 67, 0, $14.99
RISK - The Game of Global Domination, 0, 113, $6.99
Solar Flux, 0, 210, $9.99
Sundered, 0, 0, free
Squirts Adventure, 0, 0, $4.99
Naruto Shippuden Uncut: Vicissitudes of Life, 0, 0, $1.99
Star Nomad, 0, 0, $1.99
Thief: Deadly Shadows, 85, 860, $8.99
The Divergent Series: Insurgent: Insurgent Unlocked: The Ultimate Behind-the-Scenes Access, 0, 0, free
Political Animals, 0, 0, free
MotoGP(tm)13, 0, 305, $19.99
Night Blights, 0, 0, $4.99
Dark Matter, 0, 158, $9.99
Gun Done, 0, 361, $0.99
Kuros, 0, 0, $6.99
Hexcells, 0, 2128, $2.99
Rage Parking Simulator 2016, 0, 679, $3.99
Lord of Rigel, 0, 0, free
Just Bones, 0, 0, $4.99
GAUGE, 0, 183, $3.99
Gravity Cat, 0, 111, $2.99
OASE - Other Age Second Encounter, 0, 0, $19.99
Grapply, 0, 0, free
Heavens Hope - Special Edition, 74, 0, $19.99
Battlefleet Gothic: Armada, 77, 2429, $39.99
Hero of the Kingdom II, 0, 618, $7.99
Motorama, 0, 148, $19.99
quadrant, 0, 0, $3.99
Complete Figure Drawing Course HD: 161 - The Muscles of the Hand - Part 6, 0, 0, free
One Way To Die: Steam Edition, 0, 290, free
Ultimate Booster Experience, 0, 0, $4.99
Odysseus: Long Way Home, 0, 0, $3.99
The Tiny Tale 2, 0, 0, $6.99
Resume Maker(r) for Windows, 0, 0, $19.99
The Happy Hereafter, 0, 176, $3.99
Bastion, 86, 19633, $14.99
Crack Down(tm), 0, 0, $2.99
Crazy Machines: Golden Gears, 0, 0, $9.99
Poltergeist: A Pixelated Horror, 70, 0, $7.99
Capsule Force, 0, 0, $4.99
Dead Bits, 0, 7312, $0.99
Freaking Meatbags, 69, 113, $9.99
Jewel Quest Pack, 0, 0, $19.99
Cogs, 73, 614, $9.99
Lazerbait, 0, 0, free
PitchFork, 0, 0, free
Burnout Paradise: The Ultimate Box, 87, 7919, $19.99
Trainz Trouble, 0, 0, $4.99
The Moon Sliver, 0, 742, $1.99
Air Conflicts: Pacific Carriers, 0, 323, $12.99
WAR7, 0, 0, free
3DF Zephyr Lite 2 Steam Edition, 0, 0, $199
The Unwelcomed, 0, 0, free
Supreme: Pizza Empire, 0, 0, $9.99
Behind You, 0, 0, $16.99
Ultimate Solid, 0, 0, free
Sky Tower, 0, 0, $4.99
Alveari, 0, 0, $14.99
4089: Ghost Within, 0, 0, $5.99
A Stroke of Fate: Operation Valkyrie, 0, 0, $9.99
Pixel Dungeon, 0, 120, $4.99
Strange Night, 0, 0, $8.99
Bullet Force, 0, 0, free
Yankais Triangle, 0, 0, free
FootLOL: Epic Fail League, 0, 636, $4.99
Trench Run, 0, 0, $7.99
Hack Run ZERO, 0, 0, $4.99
Dream Dealer, 0, 0, free
Bus-Simulator 2012, 0, 600, $9.99
Millia -The ending-, 0, 0, $4.99
Myst V, 80, 0, $9.99
Neon Chrome, 74, 165, $14.99
Geo-Fall, 0, 0, $4.99
Business Tour, 0, 0, free
SUPER IMPOSSIBLE ROAD, 0, 0, $12.99
CardFile3D, 0, 0, $9.99
Space Trader: Merchant Marine, 0, 557, $4.99
Cultures - Northland, 0, 0, $4.99
Cylne, 0, 0, $8.99
VoxreD, 0, 0, free
Final Slam 2, 0, 456, $3.99
Decisive Campaigns: Barbarossa, 0, 0, $49.99
Zombie Army Trilogy, 72, 3962, $44.99
NEKOPARA Vol. 1, 0, 8542, $9.99
Grand Ages: Rome, 72, 339, $9.99
Harvester, 53, 374, $5.99
Turnover, 0, 0, $9.99
Heileen 2: The Hands Of Fate, 0, 0, $9.99
Dance of Death, 0, 203, $3.99
Sid Meiers Civilization(r) IV, 94, 888, $19.99
Ohio Jack and The Cup Of Eternity, 0, 0, $3.99
Hashtag Dungeon, 0, 0, $7.99
The Away Team, 0, 0, $9.99
Big Fish Legend, 0, 102, $6.99
InnerSpace, 0, 0, free
Gal*Gun: Double Peace, 0, 0, $39.99
The Whisperer in Darkness, 0, 0, $2.99
Jeklynn Heights, 0, 0, $6.99
